"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4509913700363","37.0772780150153","52.2939099492755","54.4034191327832","","","","","","","","","","","","","69.1921886031503","64.0504160397904","70.4662619818776","72.9442880579616","79.2842872907886","79.8771647108445","74.5233409147154","63.6337689393506","74.8082518103115","83.4542023899143","81.9202285649265","","","",
"Andorra","AND","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80326774822252","","","","","","","","","","","",
"Argentina","ARG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.028420686875","63.4012140048923","60.080359762005","46.5518225515757","48.0562986773694","47.8813384852474",
"American Samoa","ASM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.211252069756","11.9025520926005","14.1253907401946","17.8490180915729","20.1596024704357","21.6474459271968","21.777431307299","20.8274667149747","16.848537830388","31.0107125026288","29.4708236736698","27.6400889435694","25.8412136969849","25.0320718409237","22.8245660455405","22.3700818832059","21.4023842789788","20.0582738191257","18.1404251935735","23.7918159800555","28.5706752868622","30.0025299553744","39.3096720165071","37.4031396926123","41.5409287207942","46.293292747612","54.463570652249","53.1037976577229","54.3001380799371","59.9837867004913","69.0656538994855","69.836773674895","57.8834285733848","","",
"Austria","AUT","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57653797474662","6.29501240116287","6.38557579182856","","","","","","","","","","","","","","",
"Burundi","BDI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5738610488619","47.0623633703305","73.3851925499913","55.5822235519468","63.1897248083414","61.9320439112839","",
"Bangladesh","BGD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4618431575804","31.863991518402","31.2044521104432","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.67539435426901","14.4052165631514","18.732405446645","17.0153363819107","15.7248022647076","14.9389566082491","13.9070398716136","14.916205663568","18.6135552828644","20.8358032721467","25.7450148929614","27.1047836328351","28.3796671065326","32.4533576041094","29.3985591955441","","20.2540605565848","7.54545632569935","7.2926256555605","15.6294022913075","29.0713708137176","34.5689325404164","35.6065986284181","42.2700248553772","43.5275770260668","60.7584088656577","70.5694533398636","77.5251429515026","84.3014580347853","91.3598106259863","111.598089491983","","","","",
"Bahamas, The","BHS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4188250157928","27.9767032232351","30.6304277902863","34.4340232858991","34.8665234734581","33.9982502187227","34.2227763923525","21.7237964992515","20.9517328580084","19.6411443712608","18.7520042790972","","","","","","22.7774542870491","22.9908535609144","25.45550066502","30.908208407968","33.6922817103418","35.306429206242","36.4498330286183","44.7663646864529","46.3248467111347","47.6225079407988","50.2046646297839","52.624565152769","56.5027068771842","56.6924606462303","79.0414158175081","82.5398306554789","77.6639776783144","73.7303207978365","",
"Bosnia and Herzegovina","BIH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8346943048337","49.0902635470572","49.6097495570649","53.5008592967128","","52.2381270477915","47.3715635753068","44.8932316799242","44.0235714193856","45.4216327992572","46.9748193876917","41.743510524303","40.310118633539","39.9087988139954",
"Belarus","BLR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7608695652174","5.18781725888325","75.9557129208116","16.8800606245315","11.5201288580528","12.1714690728675","20.1805426390813","15.103117448937","15.0144518163306","11.440616774975","12.3366860124798","","","6.57022058767027","6.64440183178372","8.9092608163614","10.6566343685377","18.5574619839498","18.9052457267088","39.416810851275","24.4293134230567","23.8372955552391","24.5487262666937","37.5981780519834","38.9240984107258","39.8801045313301","37.0957369908527","33.2442039424903","","","","","",
"Belize","BLZ","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2008791196748","21.34863774194","24.551156705335","26.2914118966151","27.971219349138","27.5080847835654","29.2899620868898","","","","","","50.4310172089739","66.6155817914396","78.5645928230355","69.6837899301797","67.1012109617633","64.0974458625061","62.033292116626","64.9499537251718","64.0391039757611","62.4120191090005","61.1385471733495","61.1342977094366","61.0308317738748","","","","","","","","","","",
"Bermuda","BMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1717241709186","57.4113793922892","47.8828066229933","46.5365054086561","47.0751925934341","56.2575829839375","60.1091977404058","68.3398527645303","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3187804640802","59.341658294152","59.8494900102759","57.2284093858434","58.4572711007508","67.5375540389418","73.4188038098507","83.6692026484793","86.6078841230118","92.5652532010336","98.7098819481716","85.0115036759105","79.1023218876878","83.0317498511131","81.8554431216383",
"Barbados","BRB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7916238643802","62.3690591999655","66.8016267359889","71.0883224744168","86.8542626598636","76.4393226392145","82.4489816884745","90.2372160654002","99.4343885869565","108.313205262783","117.275144037977","125.131136467769","","","","","","","","",
"Brunei Darussalam","BRN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3463593270416","49.386292649567","47.4833533625875","40.9407963084292","34.4420204367148","28.2639492340235","37.853277255727","31.9367467746927","31.0826268923135","36.0933589086497","37.2923933577388","67.1679909951713","54.1217805841119","65.6287612724923","71.8993384935838","75.6957100342792","71.297555656776","59.811072814383","57.6965298565065","53.9367496631031","50.9195301727763","57.5496480907902","67.0148156229242","88.9492144824279","84.9990711320017","81.050561010158","92.2912013135809","95.7786850240393","95.847821202237","90.3573525872411","111.007884099526","","","","",
"Botswana","BWA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3711032492715","12.1168020575228","12.5321505732804","12.4450599461028","12.0423976352474","10.972076070214","11.1567555492122","","","","","","","","","","6.02356808660498","5.9431764131185","8.00402997376666","19.2517818685668","21.8862970525723","21.0743622822987","20.6231807851092","19.0163812887175","18.3257336074772","19.086977673783","15.8049523115174","14.6807691767743","15.2307151442609","16.193904309718","19.6161332466694","","","","",
"Central African Republic","CAF","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7622404568793","67.4447435281779","70.7020527924547","75.1877082393509","75.9438464996237","77.3126219756355","78.0386679289258","74.9284095733244","72.4827997563099","66.245831750035","58.7379742383571","57.4583564504362","54.1491194927984","51.2713370557453","46.8009858324025","46.0616514241618","43.2916781929928","39.1585639491399","45.3205112731135","53.1924466726998","53.1497329605545","54.1193858391726","55.7251649377054","53.200869076551","51.4827081297932","55.9915837788793","56.0236243991088","54.4625651849142","53.1515356456582","53.3623246913959","74.5544073791525","68.7795713723483","59.9440184640855","62.4731322069255","64.9003074523507",
"Central Europe and the Baltics","CEB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.325321761579","13.0443645225384","15.2316390704242","18.4445481293767","20.0680258688926","22.4952087782551","22.9044358709718","24.9237649035228","27.1341875947238","25.0056548792634","25.7779061594765","24.7027735794148","29.7429844907184","28.8028890827852","29.3653695137999","29.3971783159172","25.7683538770765","23.6558294443865","23.0826538987753","21.7016373930473","20.9935662166253","21.1420070510112","21.344495938121","20.2181574462584","20.6112427869967","20.4392949646999","19.3809926486343","20.2844118353444","18.6781185686767","18.9542598001148","20.8521076698005","19.9391907467762","17.5861857589033","19.8822985290733","",
"Channel Islands","CHI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2839264371757","14.5844761393369","12.7798231837826","12.1152964047133","13.2770070115782","13.1456400053184","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.065442627283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6686948009612","48.8665341962956","58.646137344434","48.5973153695346","106.500522736019","106.280979179561","","","84.8102640173471","79.4576584012943","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.844727083008","113.584666","128.444708079096","104.002107466568","169.786611378329","232.936231054902","243.595506269697","152.187001902338","","","","","","","","","","","","","","","","","","","","","","","","","14.9405246182608","","",
"Congo, Rep.","COG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2269417189103","25.4826844740907","","","","","","","","","","","","","","",
"Colombia","COL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.40391549112143","19.0653508704071","17.7090216802298","","","52.5354195230314","","","","","65.2450803056946","68.9990033374936","72.4526699261111","62.8601328222053","65.227695883164","67.1029119456429","47.9761695130311","53.2785874719769","66.9071609156014","66.7272478437669","71.6505702522092","72.703878581374","91.1566069420143","80.4259616026375","70.2611600056829","71.3312731846403","71.483126167997",
"Comoros","COM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0982111795656","30.1790308643986","40.2051024300097","40.1048028944163","38.5018488599169","39.3351119117989","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2381964017293","27.1686756472154","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6956998402926","56.4111860003038","56.0891425551974","58.7207992783616","53.6510804579325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7297302900884","13.9974227725367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8541847518475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1550956180596","66.6053260676425","78.2852478726662","75.3312600417617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9601830753133","17.5702324990029","","16.4168038368014","","","","","","","","","","","","","","","","","","","","","","","","0","",
"Algeria","DZA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5050838282794","42.0061709454569","35.5749130886869","34.3745643479121","32.8677445154457","29.170018951991","31.5347700888549","32.2486390338709","33.0093502625864","32.1834478665604","31.6602313959176","33.3359635115053","40.9992084481667","39.3503158486765","33.3873489432114","31.6448202485068","",
"Europe & Central Asia","ECS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
